DAO,Proposal,votes_voter,votes_choice,votes_vp,votes_created,proposals_title,proposal_date,usd_value,proposal_date_2,cumulative_vp,cumulative_usd_value,total_vp,total_usd_value,percentage_of_total_vp,cum_percentage_of_total_vp,cum_percentage_of_total_vp_stepped,proposal_voter_rank,total_voters,percentage_voters_counted,percentage_voters_counted_stepped
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xB6A7D1c0655Cf03997433f069f80ffb3Ad3d19C1,1,21.29763631236367,1649912058,Close STORM to STMX Swap Proposal,2022-04-12,0.36853029578960755,2022-04-14 04:54:18,17625.032013473716,304.98024127945575,18066.756311230216,312.62375550432574,0.0011788501943099138,0.9755503990007725,1.0,63,63,0.6176470588235294,62.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x014D2BE76ACf9641d237d937c97bCe17b1253c23,1,20.450720512644295,1649864221,Close STORM to STMX Swap Proposal,2022-04-12,0.3538754239718235,2022-04-13 15:37:01,17645.48273398636,305.3341167034276,18066.756311230216,312.62375550432574,0.0011319685098991478,0.9766823675106716,1.0,64,64,0.6274509803921569,63.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x633312037D26427BeE53fe9ba96872491E508b59,1,20.330605484091286,1649862332,Close STORM to STMX Swap Proposal,2022-04-12,0.35179697609374977,2022-04-13 15:05:32,17665.81333947045,305.6859136795213,18066.756311230216,312.62375550432574,0.0011253264766886496,0.9778076386370834,1.0,65,65,0.6372549019607843,64.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x578A3a37167B9bb6a06C6E552aE08386F91A365b,1,20.29099095707346,1649917041,Close STORM to STMX Swap Proposal,2022-04-12,0.3511114937639116,2022-04-14 06:17:21,17686.104330427523,306.03702517328526,18066.756311230216,312.62375550432574,0.0011231124656184836,0.9789307511027019,1.0,66,66,0.6470588235294118,65.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xa6F5caDAd54E71AB95471B6de5E18Be092Bb378f,1,19.913753156984267,1649880925,Close STORM to STMX Swap Proposal,2022-04-12,0.3445838417742312,2022-04-13 20:15:25,17706.01808358451,306.3816090150595,18066.756311230216,312.62375550432574,0.0011022454112821687,0.9800329965139841,1.0,67,67,0.6568627450980392,66.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x936305a2C839AF937615B7DA2a8d0bA56C412d19,1,19.789997214208167,1650380909,Close STORM to STMX Swap Proposal,2022-04-12,0.34244239220076267,2022-04-19 15:08:29,17725.808080798717,306.7240514072602,18066.756311230216,312.62375550432574,0.0010953819769646538,0.9811283784909488,1.0,68,68,0.6666666666666666,67.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x16b4236B703036C6418f5026B0ccefb4c532591A,2,19.197780919168054,1649863552,Close STORM to STMX Swap Proposal,2022-04-12,0.332194792740354,2022-04-13 15:25:52,17745.005861717884,307.0562462000006,18066.756311230216,312.62375550432574,0.0010626146131261962,0.9821909931040751,1.0,69,69,0.6764705882352942,68.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0xF8E3775641b6a1340b1E2b774B7684Cc1048AdDb,1,18.49570948195524,1649879839,Close STORM to STMX Swap Proposal,2022-04-12,0.32004628054741774,2022-04-13 19:57:19,17763.50157119984,307.376292480548,18066.756311230216,312.62375550432574,0.001023758718844782,0.9832147518229198,1.0,70,70,0.6862745098039216,69.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x7129897Ea1bF0d8266547695b755Ee07353F8fc9,1,17.12182779360519,1649877001,Close STORM to STMX Swap Proposal,2022-04-12,0.2962728900377092,2022-04-13 19:10:01,17780.623398993444,307.67256537058574,18066.756311230216,312.62375550432574,0.0009477074385845783,0.9841624039112276,1.0,71,71,0.696078431372549,70.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x34CC02f7116292a855378f86fe594CFaE29bff9c,2,16.357222594447922,1650360492,Close STORM to STMX Swap Proposal,2022-04-12,0.2830423053815086,2022-04-19 09:28:12,17796.980621587893,307.9556076759672,18066.756311230216,312.62375550432574,0.0009053644768676524,0.985067823738372,1.0,72,72,0.7058823529411765,71.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x1db8CF40e8E96421Be96543A49075e0c781b7075,1,15.312155709912032,1649876076,Close STORM to STMX Swap Proposal,2022-04-12,0.26495866443519595,2022-04-13 18:54:36,17812.292777297804,308.2205663404024,18066.756311230216,312.62375550432574,0.0008475234376595644,0.9859153471760317,1.0,73,73,0.7156862745098039,72.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x73743f68E70ebd463Ba70aC8e924F18a2c19512E,1,14.54296836148464,1649883855,Close STORM to STMX Swap Proposal,2022-04-12,0.2516487911292548,2022-04-13 21:04:15,17826.83574565929,308.4722151315317,18066.756311230216,312.62375550432574,0.000804959074835622,0.9867203062508672,1.0,74,74,0.7254901960784313,73.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x165bD5e83ab345dc3448dF500e5ef57779E4c73a,1,14.527265247533027,1650165870,Close STORM to STMX Swap Proposal,2022-04-12,0.2513770673968871,2022-04-17 03:24:30,17841.36301090682,308.72359219892854,18066.756311230216,312.62375550432574,0.0008040734704075556,0.9875243797212748,1.0,75,75,0.7352941176470589,74.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x52d40a7D59bf3fa4D00a629090Da094021CbE1b0,1,14.355715903504676,1649897180,Close STORM to STMX Swap Proposal,2022-04-12,0.24840860979107382,2022-04-14 00:46:20,17855.718726810326,308.97200080871966,18066.756311230216,312.62375550432574,0.0007946085730825957,0.9883189882943574,1.0,76,76,0.7450980392156863,75.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x1bf72ecf304F65B903bbe1c8377777caf34d32aE,1,14.135398742905743,1649927500,Close STORM to STMX Swap Proposal,2022-04-12,0.24459628305339182,2022-04-14 09:11:40,17869.854125553233,309.21659709177305,18066.756311230216,312.62375550432574,0.0007823761619199283,0.9891013644562773,1.0,77,77,0.7549019607843137,75.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x21c3BfFD4C6eA3A3B17Ef0AcDA03d3013b9685c3,1,13.428321573189862,1649863775,Close STORM to STMX Swap Proposal,2022-04-12,0.23236115260606602,2022-04-13 15:29:35,17883.28244712642,309.44895824437907,18066.756311230216,312.62375550432574,0.0007432435162547435,0.9898446079725319,1.0,78,78,0.7647058823529411,76.0
stormxio.eth,0xbbf1366a764a3e8a652524e79238d41e775c752a4380d12cec471ae5a074e722,0x4dE306f8140F02C623434d1F4a1BcE4D6e3139f6,2,12.551407391229901,1649855931,Close STORM to STMX Swap Proposal,2022-04-12,0.21718719442028367,2022-04-13 13:18:51,17895.833854517652,309.6661454387994,18066.756311230216,312.62375550432574,0.0006947013235413527,0.9905393646463501,1.0,79,79,0.7745098039215687,77.0
